player_win_rates,dealer_win_rates,draw_rates,player_bust_rates,dealer_bust_rates
Player Wins,Dealer Wins,Draws,Player Busts,Dealer Busts
41.510000000000005,51.953,6.537,0.0,28.221
41.951,50.71600000000001,7.333,3.293,27.517999999999997
41.906,50.06699999999999,8.027,7.964,25.958
41.843,49.522,8.635,13.402,24.412
41.83,48.924,9.246,20.146,22.774
40.823,48.996,10.181,28.285,20.391000000000002
39.907,51.348000000000006,8.745,38.021,17.727
36.348,56.348,7.303999999999999,49.181999999999995,14.524999999999999
